Polygon
N050.18.40.879;E030.52.43.401
N050.18.40.919;E030.52.49.620
N050.18.41.364;E030.52.54.230
N050.18.43.269;E030.52.56.710
N050.19.02.594;E030.52.58.513
N050.19.11.249;E030.53.12.137
N050.19.15.572;E030.53.14.057
N050.19.53.808;E030.53.16.804
N050.19.55.553;E030.53.21.702
N050.19.54.832;E030.53.36.549
N050.19.57.890;E030.53.41.307
N050.19.57.137;E030.53.59.181
N050.19.50.416;E030.53.59.346
N050.19.42.266;E030.53.53.142
N050.19.34.121;E030.53.53.417
N050.19.26.925;E030.53.57.381
N050.19.13.749;E030.54.06.043
N050.18.55.480;E030.54.04.923
N050.18.55.013;E030.54.17.300
N050.19.13.114;E030.54.19.027
N050.19.28.630;E030.54.25.425
N050.19.28.972;E030.54.22.491
N050.20.33.896;E030.54.26.777
N050.20.37.706;E030.54.44.637
N050.20.44.041;E030.54.45.586
N050.20.52.803;E030.54.47.777
N050.20.54.118;E030.55.01.499
N050.20.57.740;E030.55.02.823
N050.21.22.906;E030.55.20.363
N050.21.37.222;E030.55.10.724
N050.21.48.778;E030.55.05.689
N050.21.52.664;E030.55.00.180
N050.21.58.280;E030.54.55.715
N050.21.56.088;E030.54.45.983
N050.22.03.863;E030.54.47.520
N050.22.09.880;E030.54.16.748
N050.21.44.196;E030.54.06.569
N050.21.44.385;E030.53.54.444
N050.21.40.717;E030.53.53.784
N050.21.40.399;E030.54.04.541
N050.21.20.047;E030.54.02.612
N050.21.19.789;E030.53.51.895
N050.21.27.545;E030.53.51.740
N050.21.30.130;E030.53.41.111
N050.21.35.682;E030.53.26.797
N050.21.21.605;E030.53.20.357
N050.21.21.859;E030.53.16.808
N050.21.22.747;E030.52.59.169
N050.21.39.812;E030.52.58.622
N050.21.41.468;E030.53.01.311
N050.21.44.140;E030.53.01.704
N050.21.44.452;E030.52.59.486
N050.21.46.641;E030.52.58.778
N050.21.46.600;E030.52.53.588
N050.21.44.980;E030.52.53.620
N050.21.44.562;E030.52.50.637
N050.21.42.257;E030.52.50.747
N050.21.39.859;E030.52.53.444
N050.21.22.748;E030.52.51.146
N050.21.22.823;E030.52.37.101
N050.20.03.056;E030.52.32.650
N050.19.58.670;E030.52.32.451
N050.19.31.383;E030.52.30.209
N050.19.00.330;E030.52.27.456
N050.18.58.974;E030.52.30.543
N050.18.57.253;E030.52.41.366
N050.18.52.615;E030.52.40.744
N050.18.50.178;E030.52.38.082
N050.18.42.218;E030.52.37.666
